retriever,qid,domain,phrasing_gap,query,first_hit_rank,reciprocal_rank,top1_doc
tfidf,q01,unemployment,high,"פיטרו אותי מהעבודה, מה מגיע לי?",,0.0,kolzchut_2088
tfidf,q02,unemployment,low,איך מגישים בקשה לדמי אבטלה?,4,0.25,kolzchut_2926
tfidf,q03,unemployment,high,"התפטרתי כי עברתי דירה רחוק, אקבל דמי אבטלה?",,0.0,kolzchut_21223
tfidf,q04,unemployment,medium,"אני עצמאי וסגרתי את העסק, מגיע לי אבטלה?",2,0.5,kolzchut_2926
tfidf,q05,unemployment,medium,כמה חודשים צריך לעבוד כדי לקבל דמי אבטלה?,1,1.0,kolzchut_2921
tfidf,q06,unemployment,high,"הוציאו אותי לחופשה בלי משכורת, יש לי זכויות?",1,1.0,kolzchut_12413
tfidf,q07,unemployment,high,חייבים להגיע ללשכת התעסוקה כל הזמן?,4,0.25,kolzchut_16447
tfidf,q08,unemployment,high,"הציעו לי עבודה שלא מתאימה לי, מותר לי לסרב?",1,1.0,kolzchut_1901
tfidf,q09,welfare,high,"אין לי הכנסה בכלל, איזו קצבה אפשר לקבל?",9,0.1111,btl_btl_3
tfidf,q10,welfare,high,"יש לי אוטו, זה פוסל אותי מהבטחת הכנסה?",3,0.3333,kolzchut_3825
tfidf,q11,welfare,low,איך מגישים תביעה לגמלת הבטחת הכנסה?,2,0.5,btl_btl_3
tfidf,q12,welfare,medium,יש הנחה בארנונה למקבלי הבטחת הכנסה?,1,1.0,kolzchut_1767
tfidf,q13,welfare,high,"אני מקבל קצבה, מגיעה לי הנחה בחשמל?",5,0.2,btl_btl_2
tfidf,q14,welfare,high,"אני אבא יחיד, מגיע לי מענק על הלימודים של הילדים?",1,1.0,kolzchut_1991
tfidf,q15,disability,medium,איך מקבלים קצבת נכות?,,0.0,kolzchut_21223
tfidf,q16,disability,high,"יש לי נכות, מגיע לי החזר ממס הכנסה?",1,1.0,kolzchut_10424
tfidf,q17,disability,high,אפשר לקבל עזרה בחינם בהגשת תביעת נכות?,1,1.0,kolzchut_11673
tfidf,q18,disability,high,"הבן שלי נכה, יש ועדה רפואית מיוחדת לילדים?",4,0.25,kolzchut_10937
tfidf,q19,disability,high,"אני חולה סרטן, איך קובעים לי אחוזי נכות?",,0.0,kolzchut_10891
tfidf,q20,disability,medium,יש הנחה בעמלות בבנק לנכים?,1,1.0,kolzchut_10313
tfidf,q21,disability,high,"רוצה למשוך כסף מקופת גמל, יש פטור ממס בגלל נכות?",1,1.0,kolzchut_11933
tfidf,q22,parenting,high,"אני בהריון, מותר למעסיק לפטר אותי?",,0.0,kolzchut_2647
tfidf,q23,parenting,medium,אפשר לפטר אותי בזמן חופשת הלידה?,2,0.5,kolzchut_2645
tfidf,q24,parenting,medium,"אני עוברת טיפולי פוריות, מותר לפטר אותי?",2,0.5,kolzchut_16566
tfidf,q25,parenting,medium,כמה כסף מקבלים על חופשת לידה?,,0.0,kolzchut_2647
tfidf,q26,parenting,high,שני גברים בני זוג שרוצים לאמץ ילד,2,0.5,kolzchut_16106
tfidf,q27,parenting,high,"אבא שהביא ילד דרך פונדקאות בחו""ל, מגיע לו דמי לידה?",1,1.0,kolzchut_18939
tfidf,q28,family,low,מה זה אומנה ואיך זה עובד?,2,0.5,kolzchut_13642
tfidf,q29,family,medium,"רוצים לאמץ ילד בארץ, איך מתחילים?",1,1.0,kolzchut_16106
tfidf,q30,family,medium,מותר להעסיק נער בעבודת לילה?,1,1.0,kolzchut_6697
tfidf,q31,family,high,"הילד שלי מתחיל בית ספר, איך בודקים אם הוא בשל לכיתה א'?",1,1.0,kolzchut_5105
tfidf,q32,family,high,מגיעה סייעת נוספת בגן לילדים בגיל שלוש וארבע?,3,0.3333,kolzchut_14977
tfidf,q33,family,high,מישהו הפיץ תמונות אינטימיות שלי ברשת בלי רשות,1,1.0,kolzchut_13704
tfidf,q34,health,low,מידע על אוסטאופורוזיס ודלדול עצם,1,1.0,kolzchut_4454
tfidf,q35,health,high,"יש לי תו חניה לנכה, זה מוזיל את אגרת הרכב?",1,1.0,kolzchut_14454
tfidf,q36,health,high,אפשר לקבל כיסא גלגלים ומכשירי שיקום?,1,1.0,kolzchut_20618
tfidf,q37,health,high,"התינוק שלי מתעכב בהתפתחות, לאן פונים לאבחון?",2,0.5,kolzchut_11924
tfidf,q38,health,high,"התרופה שאני צריך לא נמצאת בסל, ואני חולה סרטן",1,1.0,kolzchut_7304
tfidf,q39,elderly,medium,מאיזה גיל מתחילים לקבל קצבת זקנה?,1,1.0,btl_btl_4
tfidf,q40,elderly,high,"הגעתי לגיל פרישה ואין לי קצבה, מה עושים?",2,0.5,kolzchut_2088
semantic,q01,unemployment,high,"פיטרו אותי מהעבודה, מה מגיע לי?",1,1.0,kolzchut_1521
semantic,q02,unemployment,low,איך מגישים בקשה לדמי אבטלה?,6,0.1667,btl_btl_3
semantic,q03,unemployment,high,"התפטרתי כי עברתי דירה רחוק, אקבל דמי אבטלה?",,0.0,kolzchut_1521
semantic,q04,unemployment,medium,"אני עצמאי וסגרתי את העסק, מגיע לי אבטלה?",2,0.5,kolzchut_1521
semantic,q05,unemployment,medium,כמה חודשים צריך לעבוד כדי לקבל דמי אבטלה?,,0.0,kolzchut_2925
semantic,q06,unemployment,high,"הוציאו אותי לחופשה בלי משכורת, יש לי זכויות?",1,1.0,kolzchut_12413
semantic,q07,unemployment,high,חייבים להגיע ללשכת התעסוקה כל הזמן?,1,1.0,kolzchut_1826
semantic,q08,unemployment,high,"הציעו לי עבודה שלא מתאימה לי, מותר לי לסרב?",1,1.0,kolzchut_1901
semantic,q09,welfare,high,"אין לי הכנסה בכלל, איזו קצבה אפשר לקבל?",1,1.0,btl_btl_5
semantic,q10,welfare,high,"יש לי אוטו, זה פוסל אותי מהבטחת הכנסה?",3,0.3333,btl_btl_5
semantic,q11,welfare,low,איך מגישים תביעה לגמלת הבטחת הכנסה?,1,1.0,kolzchut_9070
semantic,q12,welfare,medium,יש הנחה בארנונה למקבלי הבטחת הכנסה?,1,1.0,kolzchut_1767
semantic,q13,welfare,high,"אני מקבל קצבה, מגיעה לי הנחה בחשמל?",9,0.1111,kolzchut_1521
semantic,q14,welfare,high,"אני אבא יחיד, מגיע לי מענק על הלימודים של הילדים?",3,0.3333,kolzchut_6910
semantic,q15,disability,medium,איך מקבלים קצבת נכות?,,0.0,kolzchut_10891
semantic,q16,disability,high,"יש לי נכות, מגיע לי החזר ממס הכנסה?",1,1.0,kolzchut_10424
semantic,q17,disability,high,אפשר לקבל עזרה בחינם בהגשת תביעת נכות?,1,1.0,kolzchut_11673
semantic,q18,disability,high,"הבן שלי נכה, יש ועדה רפואית מיוחדת לילדים?",2,0.5,kolzchut_10422
semantic,q19,disability,high,"אני חולה סרטן, איך קובעים לי אחוזי נכות?",,0.0,kolzchut_10891
semantic,q20,disability,medium,יש הנחה בעמלות בבנק לנכים?,1,1.0,kolzchut_10313
semantic,q21,disability,high,"רוצה למשוך כסף מקופת גמל, יש פטור ממס בגלל נכות?",1,1.0,kolzchut_11933
semantic,q22,parenting,high,"אני בהריון, מותר למעסיק לפטר אותי?",,0.0,kolzchut_6633
semantic,q23,parenting,medium,אפשר לפטר אותי בזמן חופשת הלידה?,3,0.3333,kolzchut_2645
semantic,q24,parenting,medium,"אני עוברת טיפולי פוריות, מותר לפטר אותי?",1,1.0,kolzchut_469
semantic,q25,parenting,medium,כמה כסף מקבלים על חופשת לידה?,,0.0,btl_btl_1
semantic,q26,parenting,high,שני גברים בני זוג שרוצים לאמץ ילד,3,0.3333,kolzchut_16106
semantic,q27,parenting,high,"אבא שהביא ילד דרך פונדקאות בחו""ל, מגיע לו דמי לידה?",2,0.5,kolzchut_20449
semantic,q28,family,low,מה זה אומנה ואיך זה עובד?,5,0.2,kolzchut_14980
semantic,q29,family,medium,"רוצים לאמץ ילד בארץ, איך מתחילים?",1,1.0,kolzchut_16106
semantic,q30,family,medium,מותר להעסיק נער בעבודת לילה?,1,1.0,kolzchut_6697
semantic,q31,family,high,"הילד שלי מתחיל בית ספר, איך בודקים אם הוא בשל לכיתה א'?",2,0.5,kolzchut_13255
semantic,q32,family,high,מגיעה סייעת נוספת בגן לילדים בגיל שלוש וארבע?,1,1.0,kolzchut_14383
semantic,q33,family,high,מישהו הפיץ תמונות אינטימיות שלי ברשת בלי רשות,1,1.0,kolzchut_13704
semantic,q34,health,low,מידע על אוסטאופורוזיס ודלדול עצם,1,1.0,kolzchut_4454
semantic,q35,health,high,"יש לי תו חניה לנכה, זה מוזיל את אגרת הרכב?",3,0.3333,kolzchut_14980
semantic,q36,health,high,אפשר לקבל כיסא גלגלים ומכשירי שיקום?,,0.0,kolzchut_4745
semantic,q37,health,high,"התינוק שלי מתעכב בהתפתחות, לאן פונים לאבחון?",,0.0,kolzchut_10946
semantic,q38,health,high,"התרופה שאני צריך לא נמצאת בסל, ואני חולה סרטן",1,1.0,kolzchut_7304
semantic,q39,elderly,medium,מאיזה גיל מתחילים לקבל קצבת זקנה?,1,1.0,btl_btl_4
semantic,q40,elderly,high,"הגעתי לגיל פרישה ואין לי קצבה, מה עושים?",,0.0,kolzchut_11195
bm25,q01,unemployment,high,"פיטרו אותי מהעבודה, מה מגיע לי?",,0.0,kolzchut_2088
bm25,q02,unemployment,low,איך מגישים בקשה לדמי אבטלה?,7,0.1429,btl_btl_3
